Stop ID Number,Stop Abbreviation,StopName,Shelter,Bench,Route Number,Route Name,Mapped Location,Council District Outlines (GIS),Zip Codes (GIS),Davidson County Border (GIS),Service Districts (GIS),:@computed_region_cfa7_hbpz,:@computed_region_sjpq_96s8,:@computed_region_f73m_vb2k,:@computed_region_c9xn_skx3,:@computed_region_gisn_y5cm,:@computed_region_v3ji_vzam
4679,BRAHEANF,BRANSFORD AVE & HEATHER PL NB,false,false,1,100 OAKS,"(36.113067, -86.766875)",18,25,1,2,,30813,9,11,5,2005
587,CHA7AEN,CHARLOTTE AVE & 7TH AVE N EB,false,false,1,100 OAKS,"(36.164738, -86.784418)",20,40,1,1,,30406,7,13,1,2005
4682,POWPOWSN,POWELL AVE & POWELL PL SB,false,false,1,100 OAKS,"(36.108423, -86.765856)",9,25,1,1,,30813,9,21,5,2005
590,CHA8AWN,CHARLOTTE AVE & 8TH AVE N WB,false,true,1,100 OAKS,"(36.164393, -86.785451)",20,40,1,1,,16169,7,13,1,2005
270,8ADEMNN,8TH AVE S & DEMONBREUN ST NB,false,false,1,100 OAKS,"(36.156777, -86.78067)",20,40,1,1,,30406,7,13,1,2005
1788,100OAKS,100 OAKS MALL,true,true,1,100 OAKS,"(36.106851, -86.762639)",9,25,1,1,,30813,9,21,5,2005
4637,MARMOONN,MARTIN ST & MOORE AVE NB,false,false,1,100 OAKS,"(36.137435, -86.769864)",18,40,1,1,625,30406,7,11,5,2005
4177,6THLAFNN,6TH AVE & LAFAYETTE,false,false,1,100 OAKS,"(36.152857, -86.775233)",20,40,1,1,,30406,7,13,1,2005
4431,MCC5_11,MUSIC CITY CENTRAL 5TH - BAY 11,true,false,1,100 OAKS,"(36.16659, -86.781996)",20,1,1,1,50,16169,7,13,1,2005
1419,MARWEDSN,MARTIN ST & WEDGEWOOD AVE SB,false,false,1,100 OAKS,"(36.133607, -86.770473)",18,40,1,1,625,30406,7,11,5,2005
263,8ABRONM,8TH AVE S & BROADWAY AVE NB,false,false,1,100 OAKS,"(36.159688, -86.782557)",20,40,1,1,50,30406,7,13,1,2005
4935,POWBRASF,POWELL AVE & BRANSFORD AVE SB,false,false,1,100 OAKS,"(36.109932, -86.766778)",9,25,1,1,,30813,9,21,5,2005
461,BRAROSNN,BRANSFORD AVE & ROSEDALE AVE NB,false,false,1,100 OAKS,"(36.124624, -86.765827)",18,25,1,2,,30813,9,11,5,2005
247,6AOAKSN,6TH AVE S & OAK ST SB,false,false,1,100 OAKS,"(36.148073, -86.772303)",18,40,1,1,,30406,7,11,5,2005
4412,MCC4_21,MUSIC CITY CENTRAL 4TH - BAY 21,true,false,1,100 OAKS,"(36.166688, -86.781614)",20,1,1,1,50,16169,7,13,1,2005
352,FORVINSM,FORT NEGLEY BLVD & VINE ST SB,false,false,1,100 OAKS,"(36.146517, -86.776445)",18,40,1,1,,30406,7,11,5,2005
4415,MCC4_13,MUSIC CITY CENTRAL 4TH - BAY 13,true,false,1,100 OAKS,"(36.16642, -86.781199)",20,1,1,1,50,16169,7,13,1,2005
5232,7AVCOMSN,7TH AVE & COMMERCE ST SB,false,false,1,100 OAKS,"(36.160875, -86.781861)",20,40,1,1,50,30406,7,13,1,2005
463,BRAWEDNN,BRANSFORD AVE & WEDGEWOOD AVE NB,false,false,1,100 OAKS,"(36.132468, -86.768817)",18,25,1,1,126,30813,9,11,5,2005
4634,MARMOOSF,MARTIN ST & MOORE AVE SB,false,false,1,100 OAKS,"(36.137462, -86.76992)",18,40,1,1,625,30406,7,11,5,2005
4639,HAMFORWN,HAMILTON AVE & FORTNEGLY BLVD WB,false,false,1,100 OAKS,"(36.139204, -86.774932)",18,40,1,1,,30406,7,11,5,2005
588,CHA7AWN,CHARLOTTE AVE & 7TH AVE N WB,true,false,1,100 OAKS,"(36.165, -86.78406)",20,40,1,1,,16169,7,13,1,2005
4174,8AVCHANM,8TH AVE N & CHARLOTTE AVE NB,false,false,1,100 OAKS,"(36.163688, -86.785114)",20,40,1,1,,30406,7,13,1,2005
4641,OAK6AEN,OAK ST & 6TH AVE  EB,false,false,1,100 OAKS,"(36.147963, -86.772183)",18,40,1,1,,30406,7,11,5,2005
4619,HAMFOREF,HAMILTON AVE & FORT NEGLEY BLVD EB,false,false,1,100 OAKS,"(36.139159, -86.77501)",18,40,1,1,,30406,7,11,5,2005
540,CHA10AEN,CHARLOTTE AVE & 10TH AVE N EB,false,true,1,100 OAKS,"(36.163286, -86.787885)",20,40,1,1,,30406,7,13,1,2005
889,FORCHENM,FORT NEGLEY BLVD & CHESTNUT ST NB,false,false,1,100 OAKS,"(36.14632, -86.776322)",18,40,1,1,,30406,7,11,5,2005
4431,MCC5_11,MUSIC CITY CENTRAL 5TH - BAY 11,true,false,1,100 OAKS,"(36.16659, -86.781996)",20,1,1,1,50,16169,7,13,1,2005
4435,MCC5_10,MUSIC CITY CENTRAL 5TH - BAY 10,true,true,1,100 OAKS,"(36.16667, -86.78167)",20,1,1,1,50,16169,7,13,1,2005
4618,FORCHESN,FORT NEGLEY BLVD & CHESTNUT ST SB,false,false,1,100 OAKS,"(36.14215, -86.775795)",18,40,1,1,,30406,7,11,5,2005
1792,POWPOWNM,POWELL AVE & POWELL PL NB,false,false,1,100 OAKS,"(36.108232, -86.765569)",9,25,1,1,,30813,9,21,5,2005
265,8ABROSN,8TH AVE S & BROADWAY AVE SB,true,false,1,100 OAKS,"(36.159008, -86.782225)",20,40,1,1,50,30406,7,13,1,2005
1788,100OAKS,100 OAKS MALL,true,true,1,100 OAKS,"(36.106851, -86.762639)",9,25,1,1,,30813,9,21,5,2005
2207,BRACRASN,BRANSFORD AVE & CRAIGHEAD ST SB,false,false,1,100 OAKS,"(36.126148, -86.766278)",18,25,1,1,,30813,9,11,5,2005
1785,BRAEIRNN,BRANSFORD AVE & EAST IRIS DR NB,false,true,1,100 OAKS,"(36.116603, -86.76628)",18,25,1,2,,30813,9,11,5,2005
541,CXONGULC,11TH AVE / N GULCH STATION OUTBOUND,false,false,1,100 OAKS,"(36.162249, -86.790464)",20,40,1,1,,30406,7,13,1,2005
4635,BRALIGSF,BRANSFORD AVE & LIGON DR SB,false,false,1,100 OAKS,"(36.121755, -86.765561)",18,25,1,2,,30813,9,11,5,2005
4636,MARWEDNF,MARTIN ST & WEDGEWOOD AVE NB,false,false,1,100 OAKS,"(36.133837, -86.770346)",18,40,1,1,625,30406,7,11,5,2005
4141,8AVUNINN,8TH AVE N & UNION ST NB,false,false,1,100 OAKS,"(36.162858, -86.784621)",20,40,1,1,,30406,7,13,1,2005
460,BRAROSSF,BRANSFORD AVE  & ROSEDALE AVE SB,false,false,1,100 OAKS,"(36.124353, -86.765931)",18,25,1,2,,30813,9,11,5,2005
262,8ABRONN,8TH AVE S & BROADWAY AVE NB,false,false,1,100 OAKS,"(36.158776, -86.7819)",20,40,1,1,,30406,7,13,1,2005
4621,BRAWIRSF,BRANSFORD AVE & WEST IRIS DR SB,false,false,1,100 OAKS,"(36.116201, -86.766448)",18,25,1,2,,30813,9,11,5,2005
4244,CHA6AEN,CHARLOTTE AVE & 6TH AVE EB,false,false,1,100 OAKS,"(36.165233, -86.783252)",20,1,1,1,,16571,7,13,1,2005
456,BRABENNN,BRANSFORD AVE & BENTON AVE NB,false,false,1,100 OAKS,"(36.131533, -86.768317)",18,25,1,1,,30813,9,11,5,2005
288,8ADEMSN,8TH AVE S & DEMONBREUN ST SB,false,false,1,100 OAKS,"(36.156975, -86.780929)",20,40,1,1,,30406,7,13,1,2005
1787,BRABERNM,BRANSFORD AVE & BERRY RD NB,false,false,1,100 OAKS,"(36.121603, -86.765494)",18,25,1,2,,15803,9,11,5,2005
